tanggal,AKUMULASI_KASUS,KASUS,AKUMULASI_SEMBUH,SEMBUH,AKUMULASI_MENINGGAL,MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI,DIRAWAT_OR_ISOLASI
2020-05-22,285,35,92,15,14,4,179,16
2020-05-23,287,2,92,0,14,0,181,2
2020-05-24,302,15,92,0,14,0,196,15
2020-05-25,304,2,113,21,16,2,175,-21
2020-05-26,316,12,113,0,16,0,187,12
2020-05-27,324,8,113,0,16,0,195,8
2020-05-28,330,6,113,0,16,0,201,6
2020-05-29,359,29,120,7,16,0,223,22
2020-05-30,390,31,126,6,18,2,246,23
2020-05-31,402,12,126,0,18,0,258,12
2020-06-01,411,9,126,0,18,0,267,9
2020-06-02,420,9,143,17,19,1,258,-9
2020-06-03,448,28,150,7,23,4,275,17
2020-06-04,461,13,150,0,23,0,288,13
2020-06-05,476,15,150,0,25,2,301,13
2020-06-06,491,15,150,0,25,0,316,15
2020-06-07,492,1,160,10,25,0,307,-9
2020-06-08,500,8,162,2,27,2,311,4
2020-06-09,518,18,162,0,27,0,329,18
2020-06-10,533,15,173,11,28,1,332,3
2020-06-11,548,15,173,0,28,0,347,15
2020-06-12,561,13,176,3,28,0,357,10
2020-06-13,582,21,176,0,29,1,377,20
2020-06-14,582,0,193,17,32,3,357,-20
2020-06-15,627,45,194,1,36,4,397,40
2020-06-16,653,26,204,10,36,0,413,16
2020-06-17,698,45,205,1,37,1,456,43
2020-06-18,734,36,244,39,43,6,447,-9
2020-06-19,734,0,244,0,43,0,447,0
2020-06-20,760,26,254,10,45,2,461,14
2020-06-21,760,0,254,0,45,0,461,0
2020-06-22,781,21,261,7,48,3,472,11
2020-06-23,792,11,268,7,49,1,475,3
2020-06-24,796,4,268,0,49,0,479,4
2020-06-25,806,10,268,0,49,0,489,10
2020-06-26,813,7,297,29,51,2,465,-24
2020-06-27,818,5,297,0,52,1,469,4
2020-06-28,830,12,297,0,52,0,481,12
2020-06-29,877,47,347,50,52,0,478,-3
2020-06-30,890,13,348,1,54,2,488,10
2020-07-01,927,37,348,0,54,0,525,37
2020-07-02,942,15,348,0,54,0,540,15
2020-07-03,992,50,393,45,58,4,541,1
2020-07-04,1000,8,412,19,60,2,528,-13
2020-07-05,1028,28,416,4,60,0,552,24
2020-07-06,1036,8,416,0,60,0,560,8
2020-07-07,0,0,0,0,0,0,0,0
2020-07-08,0,0,0,0,0,0,0,0
2020-07-09,0,0,0,0,0,0,0,0
