tanggal,AKUMULASI_KASUS,KASUS,AKUMULASI_SEMBUH,SEMBUH,AKUMULASI_MENINGGAL,MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI,DIRAWAT_OR_ISOLASI
2020-05-22,211,9,30,5,4,0,177,4
2020-05-23,215,4,51,21,4,0,160,-17
2020-05-24,215,0,51,0,4,0,160,0
2020-05-25,215,0,51,0,4,0,160,0
2020-05-26,215,0,100,49,4,0,111,-49
2020-05-27,226,11,108,8,4,0,114,3
2020-05-28,240,14,109,1,4,0,127,13
2020-05-29,241,1,112,3,4,0,125,-2
2020-05-30,241,0,112,0,4,0,125,0
2020-05-31,244,3,121,9,4,0,119,-6
2020-06-01,244,0,121,0,4,0,119,0
2020-06-02,244,0,124,3,4,0,116,-3
2020-06-03,251,7,131,7,4,0,116,0
2020-06-04,252,1,131,0,5,1,116,0
2020-06-05,257,5,141,10,5,0,111,-5
2020-06-06,257,0,144,3,5,0,108,-3
2020-06-07,259,2,154,10,5,0,100,-8
2020-06-08,259,0,155,1,5,0,99,-1
2020-06-09,263,4,172,17,5,0,86,-13
2020-06-10,266,3,174,2,5,0,87,1
2020-06-11,272,6,178,4,5,0,89,2
2020-06-12,277,5,180,2,5,0,92,3
2020-06-13,279,2,190,10,5,0,84,-8
2020-06-14,283,4,197,7,5,0,81,-3
2020-06-15,286,3,199,2,5,0,82,1
2020-06-16,291,5,203,4,5,0,83,1
2020-06-17,292,1,203,0,5,0,84,1
2020-06-18,326,34,203,0,5,0,118,34
2020-06-19,329,3,204,1,5,0,120,2
2020-06-20,332,3,214,10,5,0,113,-7
2020-06-21,332,0,217,3,5,0,110,-3
2020-06-22,334,2,217,0,5,0,112,2
2020-06-23,336,2,218,1,5,0,113,1
2020-06-24,337,1,219,1,5,0,113,0
2020-06-25,337,0,219,0,5,0,113,0
2020-06-26,340,3,221,2,5,0,114,1
2020-06-27,343,3,221,0,6,1,116,2
2020-06-28,343,0,221,0,6,0,116,0
2020-06-29,345,2,222,1,6,0,117,1
2020-06-30,363,18,234,12,6,0,123,6
2020-07-01,405,42,235,1,6,0,164,41
2020-07-02,463,58,247,12,7,1,209,45
2020-07-03,475,12,257,10,7,0,211,2
2020-07-04,479,4,261,4,7,0,211,0
2020-07-05,482,3,273,12,8,1,201,-10
2020-07-06,484,2,274,1,8,0,202,1
2020-07-07,0,0,0,0,0,0,0,0
2020-07-08,0,0,0,0,0,0,0,0
2020-07-09,0,0,0,0,0,0,0,0
