tanggal,AKUMULASI_KASUS,KASUS,AKUMULASI_SEMBUH,SEMBUH,AKUMULASI_MENINGGAL,MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI,DIRAWAT_OR_ISOLASI
2020-05-21,1132,33,397,31,58,3,677,-1
2020-05-22,1203,71,416,19,60,2,727,50
2020-05-23,1260,57,422,6,60,0,778,51
2020-05-24,1292,32,455,33,62,2,775,-3
2020-05-25,1314,22,461,6,65,3,788,13
2020-05-26,1348,34,498,37,67,2,783,-5
2020-05-27,1377,29,517,19,67,0,793,10
2020-05-28,1423,46,519,2,67,0,837,44
2020-05-29,1464,41,531,12,70,3,863,26
2020-05-30,1504,40,562,31,71,1,871,8
2020-05-31,1536,32,594,32,73,2,869,-2
2020-06-01,1581,45,624,30,74,1,883,14
2020-06-02,1624,43,624,0,74,0,926,43
2020-06-03,1661,37,635,11,74,0,952,26
2020-06-04,1715,54,638,3,78,4,999,47
2020-06-05,1768,53,672,34,92,14,1004,5
2020-06-06,1833,65,672,0,92,0,1069,65
2020-06-07,1897,64,672,0,92,0,1133,64
2020-06-08,2006,109,672,0,92,0,1242,109
2020-06-09,2183,177,702,30,95,3,1386,144
2020-06-10,2369,186,755,53,96,1,1518,132
2020-06-11,2501,132,755,0,96,0,1650,132
2020-06-12,2562,61,828,73,108,12,1626,-24
2020-06-13,2688,126,864,36,108,0,1716,90
2020-06-14,2826,138,901,37,114,6,1811,95
2020-06-15,2929,103,1043,142,122,8,1764,-47
2020-06-16,3096,167,1086,43,122,0,1888,124
2020-06-17,3186,90,1102,16,122,0,1962,74
2020-06-18,3351,165,1125,23,122,0,2104,142
2020-06-19,3561,210,1168,43,122,0,2271,167
2020-06-20,3674,113,1244,76,137,15,2293,22
2020-06-21,3784,110,1282,38,137,0,2365,72
2020-06-22,3895,111,1320,38,144,7,2431,66
2020-06-23,4029,134,1362,42,145,1,2522,91
2020-06-24,4166,137,1401,39,151,6,2614,92
2020-06-25,4285,119,1458,57,153,2,2674,60
2020-06-26,4453,168,1614,156,156,3,2683,9
2020-06-27,4602,149,1654,40,159,3,2789,106
2020-06-28,4795,193,1716,62,162,3,2917,128
2020-06-29,4991,196,1768,52,163,1,3060,143
2020-06-30,5080,89,1837,69,167,4,3076,16
2020-07-01,5209,129,1889,52,167,0,3153,77
2020-07-02,5375,166,1940,51,167,0,3268,115
2020-07-03,5554,179,1981,41,174,7,3399,131
2020-07-04,5751,197,2020,39,174,0,3557,158
2020-07-05,5887,136,2114,94,198,24,3575,18
2020-07-06,5973,86,2196,82,199,1,3578,3
2020-07-07,0,0,0,0,0,0,0,0
