tanggal,AKUMULASI_KASUS,KASUS,AKUMULASI_SEMBUH,SEMBUH,AKUMULASI_MENINGGAL,MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI,DIRAWAT_OR_ISOLASI
2020-05-22,196,18,30,0,23,4,143,14
2020-05-23,199,3,31,1,25,2,143,0
2020-05-24,228,29,33,2,26,1,169,26
2020-05-25,237,9,33,0,27,1,177,8
2020-05-26,263,26,34,1,32,5,197,20
2020-05-27,279,16,35,1,34,2,210,13
2020-05-28,295,16,37,2,34,0,224,14
2020-05-29,304,9,38,1,35,1,231,7
2020-05-30,320,16,39,1,35,0,246,15
2020-05-31,337,17,50,11,37,2,250,4
2020-06-01,337,0,51,1,38,1,248,-2
2020-06-02,352,15,51,0,39,1,262,14
2020-06-03,375,23,55,4,43,4,277,15
2020-06-04,379,4,61,6,44,1,274,-3
2020-06-05,389,10,61,0,45,1,283,9
2020-06-06,468,79,61,0,46,1,361,78
2020-06-07,493,25,63,2,51,5,379,18
2020-06-08,508,15,72,9,54,3,382,3
2020-06-09,525,17,72,0,54,0,399,17
2020-06-10,543,18,79,7,54,0,410,11
2020-06-11,577,34,97,18,58,4,422,12
2020-06-12,633,56,97,0,58,0,478,56
2020-06-13,649,16,98,1,64,6,487,9
2020-06-14,656,7,100,2,64,0,492,5
2020-06-15,673,17,107,7,64,0,502,10
2020-06-16,699,26,114,7,70,6,515,13
2020-06-17,734,35,121,7,70,0,543,28
2020-06-18,759,25,128,7,73,3,558,15
2020-06-19,782,23,136,8,74,1,572,14
2020-06-20,806,24,139,3,77,3,590,18
2020-06-21,851,45,142,3,77,0,632,42
2020-06-22,852,1,144,2,78,1,630,-2
2020-06-23,859,7,146,2,78,0,635,5
2020-06-24,890,31,148,2,80,2,662,27
2020-06-25,926,36,151,3,84,4,691,29
2020-06-26,968,42,170,19,89,5,709,18
2020-06-27,1022,54,171,1,91,2,760,51
2020-06-28,1054,32,171,0,91,0,792,32
2020-06-29,1080,26,176,5,91,0,813,21
2020-06-30,1107,27,186,10,91,0,830,17
2020-07-01,1127,20,200,14,93,2,834,4
2020-07-02,1157,30,218,18,94,1,845,11
2020-07-03,1176,19,232,14,98,4,846,1
2020-07-04,1189,13,249,17,100,2,840,-6
2020-07-05,1206,17,267,18,100,0,839,-1
2020-07-06,1216,10,298,31,102,2,816,-23
2020-07-07,1250,34,316,18,102,0,832,16
2020-07-08,1339,89,328,12,103,1,908,76
2020-07-09,1426,87,355,27,103,0,968,60
2020-07-10,1556,130,360,5,103,0,1093,125
2020-07-11,1631,75,365,5,103,0,1163,70
2020-07-12,1658,27,366,1,103,0,1189,26
